                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0693,                 3.5104,                 1.5138,                0.61961,                0.87806,                0.88795,                0.61208,                 1.3909,                 1.2892,                 1.2489,                      0,                      0,                      0
                      2,                 1.1317,                 2.7845,                 1.4405,                 0.5975,                0.89697,                0.88796,                0.62334,                 1.4265,                 1.3035,                  1.262,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.0197,                 2.1252,                 1.2655,                0.56965,                0.83333,                0.87225,                0.62016,                 1.4255,                 1.3316,                 1.2624,              8.092e-07,              8.092e-07,              8.092e-07
