                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.475,                 1.7385,                 1.2575,                0.68458,                0.47176,                0.52051,                0.25954,                 1.5566,                 1.1862,                 1.2725,             0.00041607,             0.00041607,             0.00041607
                      2,                 1.2777,                 1.1003,                 1.1816,                 0.7897,                0.61709,                0.67282,                0.34573,                 1.5309,                0.90525,                 1.2474,             0.00055794,             0.00055794,             0.00055794
                      3,                 1.2005,                0.95237,                 1.1419,                0.81721,                0.66263,                0.72515,                0.37514,                 1.4311,                0.77909,                 1.1965,              0.0004248,              0.0004248,              0.0004248
